"Section","Biological.Sex","GPA","Miss_Class","Seating","Monthly_Parties","Drinking_Days","Weekly_Study","Book_Cost","Book_Cost_Log10","Book_Cost_Sqrt","More_than_3_Missing_Days"
"Section 15","Male",2.8,2,"Middle",10,10,15,350,2.54406804435028,18.7082869338697,0
"Section 15","Female",3.5,1,"Middle",10,10,20,350,2.54406804435028,18.7082869338697,0
"Section 15","Female",3.12,0,"Front",10,14,7,225,2.35218251811136,15,0
"Section 15","Female",2.9,0,"Front",10,2,20,500,2.69897000433602,22.3606797749979,0
"Section 15","Male",3.36,0,"Middle",10,15,15,400,2.60205999132796,20,0
"Section 15","Female",3.6,0,"Middle",10,10,20,450,2.65321251377534,21.2132034355964,0
"Section 16","Female",3.8,1,"Middle",10,15,10,350,2.54406804435028,18.7082869338697,0
"Section 16","Male",2.43,1,"Middle",10,13,8,410,2.61278385671974,20.2484567313166,0
"Section 16","Male",2.57,1,"Middle",10,10,17,300,2.47712125471966,17.3205080756888,0
"Section 16","Male",2.5,1,"Middle",10,7,15,300,2.47712125471966,17.3205080756888,0
"Section 16","Female",3.61,0,"Middle",10,15,10,250,2.39794000867204,15.8113883008419,0
"Section 16","Female",3.53,0,"Middle",10,12,10,450,2.65321251377534,21.2132034355964,0
"Section 16","Female",3.36,0,"Middle",10,10,6,450,2.65321251377534,21.2132034355964,0
"Section 16","Female",3.78,0,"Middle",10,7,25,400,2.60205999132796,20,0
"Section 16","Female",3.92,0,"Middle",10,0,25,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",2.5,4,"Back",11,11,7,450,2.65321251377534,21.2132034355964,1
"Section 15","Female",3.21,1,"Front",11,15,4,520,2.7160033436348,22.8035085019828,0
"Section 16","Male",3.4,0,"Middle",11,15,16,400,2.60205999132796,20,0
"Section 13","Male",3.02,1,"Back",12,5,20,400,2.60205999132796,20,0
"Section 13","Female",3.2,0,"Middle",12,14,10,350,2.54406804435028,18.7082869338697,0
"Section 14","Male",3.87,4,"Back",12,12,5,350,2.54406804435028,18.7082869338697,1
"Section 14","Male",3.06,2,"Back",12,15,8,400,2.60205999132796,20,0
"Section 14","Female",2.8,2,"Middle",12,18,8,250,2.39794000867204,15.8113883008419,0
"Section 14","Male",3.3,2,"Middle",12,12,20,400,2.60205999132796,20,0
"Section 14","Male",3.3,1,"Back",12,12,2,200,2.30102999566398,14.142135623731,0
"Section 14","Female",2.7,1,"Front",12,12,15,400,2.60205999132796,20,0
"Section 14","Male",3.36,1,"Middle",12,12,2,400,2.60205999132796,20,0
"Section 14","Female",3,1,"Middle",12,12,8,300,2.47712125471966,17.3205080756888,0
"Section 14","Female",3.74,0,"Back",12,13,5,430,2.63346845557959,20.7364413533277,0
"Section 14","Male",3.73,0,"Middle",12,15,12,450,2.65321251377534,21.2132034355964,0
"Section 15","Female",3.76,2,"Middle",12,15,5,300,2.47712125471966,17.3205080756888,0
"Section 15","Female",2.99,2,"Middle",12,15,7,200,2.30102999566398,14.142135623731,0
"Section 15","Female",3.62,2,"Middle",12,15,6,350,2.54406804435028,18.7082869338697,0
"Section 15","Female",3.55,2,"Middle",12,13,5,500,2.69897000433602,22.3606797749979,0
"Section 15","Female",2.8,1,"Middle",12,8,18,400,2.60205999132796,20,0
"Section 15","Female",3.77,0,"Middle",12,13,16,420,2.6232492903979,20.4939015319192,0
"Section 15","Female",2.98,0,"Middle",12,12,20,200,2.30102999566398,14.142135623731,0
"Section 15","Female",3.1,0,"Middle",12,12,12,400,2.60205999132796,20,0
"Section 15","Female",3,0,"Middle",12,14,6,300,2.47712125471966,17.3205080756888,0
"Section 16","Male",3.14,1,"Middle",12,15,4,400,2.60205999132796,20,0
"Section 16","Male",3.42,0,"Middle",12,25,10,480,2.68124123737559,21.9089023002066,0
"Section 16","Male",3.76,0,"Middle",12,10,8,200,2.30102999566398,14.142135623731,0
"Section 16","Female",3.41,0,"Middle",12,10,14,200,2.30102999566398,14.142135623731,0
"Section 13","Female",3.55,0,"Front",12,0,15,400,2.60205999132796,20,0
